Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.19,95.47,96.43,81.92,62.44,100.0,2021,1
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,88.96,91.76,95.82,80.97,66.39,98.63,2021,2
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.16,89.32,92.56,79.71,53.68,92.88,2021,3
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,83.22,86.71,83.13,89.79,55.96,87.05,2021,4
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,82.03,80.51,88.59,83.01,58.46,88.5,2021,5
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,78.08,79.28,78.13,90.74,63.36,63.59,2021,6
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,73.84,79.25,70.32,84.63,59.83,60.58,2021,7
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.69,82.6,56.9,72.54,56.58,66.7,2021,8
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.08,70.0,54.63,78.13,61.35,69.32,2021,9
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,64.19,73.15,50.17,78.62,64.54,50.18,2021,10
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,64.07,69.29,65.53,73.12,54.62,35.36,2021,11
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,63.68,61.41,69.7,67.01,59.84,49.73,2021,12
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.56,76.22,55.89,71.57,55.76,30.29,2021,13
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,62.1,67.4,51.62,79.07,55.8,49.96,2021,14
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,60.31,75.45,54.62,72.56,45.67,21.98,2021,15
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.67,69.63,59.01,59.56,56.68,35.04,2021,16
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,59.19,54.82,60.61,76.88,43.0,48.82,2021,17
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,58.31,66.29,50.06,58.6,50.87,65.95,2021,18
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,58.09,81.35,34.08,69.1,62.78,33.74,2021,19
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,58.02,62.21,56.58,72.53,50.72,28.08,2021,20
